race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608261411,2026-08-26,1-4-2,2-1-3,2,107.3,0.05530181020603502,5.933884235107557,False,0,8.2324178
202608261711,2026-08-26,1-3-5,2-1-3,2,139.1,0.05530182800783828,7.692484275890305,False,0,8.233066716666666
202608261810,2026-08-26,2-3-5,3-2-4,3,99.0,0.05192002025972051,5.140082005712331,False,0,8.521269733333334
202608262203,2026-08-26,1-4-3,1-3-6,8,71.2,0.03576134514311415,2.5462077741897278,False,0,9.18283435
202608270403,2026-08-27,4-2-5,2-1-4,3,56.4,0.05013607502101073,2.827674631185005,False,0,9.333512816666666
202608270405,2026-08-27,3-6-4,1-3-6,8,75.7,0.03576134891376037,2.7071341127716604,False,0,8.397166816666667
202608270703,2026-08-27,1-4-2,5-6-2,8,296.6,0.017982216899573474,5.333525532413493,False,0,8.612794583333335
202608270907,2026-08-27,2-3-5,1-2-6,8,74.6,0.03867420708833545,2.8850958487898244,False,0,8.5936982
202608270912,2026-08-27,4-2-5,5-4-1,1,146.1,0.031723527029931614,4.6348072990730085,False,0,8.4454536
202608271104,2026-08-27,3-1-4,3-1-5,2,97.2,0.059109198811193586,5.745414124448017,False,0,8.484229149999999
202608271106,2026-08-27,1-4-3,4-5-1,2,309.9,0.02947132776631095,9.133164474779763,False,0,9.508113983333335
202608271108,2026-08-27,3-1-5,1-3-4,4,120.3,0.05118717072353326,6.157816638041051,False,0,8.3923452
202608271110,2026-08-27,3-5-6,4-1-2,10,197.9,0.033428933800183955,6.615585999056405,False,0,9.62417095
202608271112,2026-08-27,3-1-4,2-1-6,9,96.1,0.0336613181164564,3.2348526709914602,False,0,9.39313155
202608271303,2026-08-27,2-1-5,2-3-4,4,132.1,0.04829720215189824,6.380060404265757,False,0,9.245705516666668
202608271305,2026-08-27,4-5-3,5-6-2,10,675.3,0.015847970086021106,10.702134199090052,False,0,8.257080949999999
202608271405,2026-08-27,6-1-2,1-3-4,4,205.6,0.04785650981662247,9.83929841829758,False,0,8.518983033333333
202608271410,2026-08-27,4-1-3,2-1-3,2,65.1,0.055301844166168956,3.6001500552175987,False,0,8.5629194
202608271501,2026-08-27,1-3-2,3-1-4,3,79.6,0.051450858956084554,4.09548837290433,False,0,9.579090083333334
202608271503,2026-08-27,3-2-1,2-1-3,5,103.5,0.04450334166424723,4.606095862249588,False,0,9.349140949999999
202608271705,2026-08-27,1-5-2,3-1-2,5,212.6,0.045101490878790756,9.588576960830915,False,0,8.380716933333334
202608271708,2026-08-27,1-3-2,2-1-6,10,215.5,0.033418885319538794,7.20176978636061,False,0,9.554211983333333
202608280404,2026-08-28,1-3-4,1-3-4,4,65.2,0.04785651112078959,3.1202445250754813,True,4680.0,9.42014125
202608280407,2026-08-28,1-3-4,2-1-3,2,105.3,0.05530180837480281,5.823280421866736,False,0,9.456775216666667
202608280408,2026-08-28,1-6-4,3-1-4,4,103.5,0.049722652773874686,5.14629456209603,False,0,9.24011735
202608280504,2026-08-28,1-2-6,2-1-4,7,58.0,0.04159899297536016,2.4127415925708893,False,0,9.384623366666666
202608280705,2026-08-28,1-5-2,5-4-1,3,249.6,0.02740137791967887,6.839383928751846,False,0,8.481267716666666
202608280707,2026-08-28,4-1-5,5-4-1,1,408.3,0.03174735345334674,12.962444415001475,False,0,8.489192383333334
202608280711,2026-08-28,1-2-4,6-4-1,10,239.9,0.01627268365959988,3.9038168099380117,False,0,8.508779800000001
202608280910,2026-08-28,3-1-5,2-1-5,4,350.5,0.04845701546740883,16.984183921326796,False,0,8.40375685
202608281001,2026-08-28,1-2-5,5-3-6,10,516.6,0.015843486038268965,8.184744887369748,False,0,9.55513435
202608281003,2026-08-28,3-4-6,3-1-5,2,74.0,0.05529318215369588,4.091695479373495,False,0,9.58204255
202608281005,2026-08-28,1-4-6,4-2-5,5,434.5,0.02360840350819681,10.257851324311515,False,0,9.332669933333333
202608281006,2026-08-28,5-1-3,5-6-2,8,643.4,0.018389307052415923,11.831680157524405,False,0,9.63150355
202608281007,2026-08-28,1-6-3,2-1-3,5,77.4,0.04450335398954107,3.444559598790479,False,0,8.384349483333333
202608281009,2026-08-28,1-3-6,4-2-6,3,602.1,0.03494012971346883,21.037452100479584,False,0,9.449300166666665
202608281103,2026-08-28,1-4-5,1-3-6,8,210.7,0.035761338223332564,7.534913963656171,False,0,9.549298916666666
202608281106,2026-08-28,4-5-2,4-3-5,6,276.0,0.021057853353033146,5.811967525437148,False,0,9.524578933333334
202608281109,2026-08-28,1-3-4,2-1-6,9,175.5,0.03366131617579433,5.9075609888519045,False,0,9.473202766666667
202608281301,2026-08-28,3-4-1,3-1-6,9,136.2,0.035584838193980665,4.846654962020167,False,0,9.47944385
202608281306,2026-08-28,1-3-4,4-6-5,2,347.4,0.029394162147269337,10.211531929961367,False,0,9.290064216666668
202608281307,2026-08-28,5-6-2,4-2-6,3,247.4,0.031910634357226624,7.894690939977867,False,0,9.447843083333334
202608281401,2026-08-28,1-4-5,4-5-2,3,609.0,0.027270513183003327,16.607742528449027,False,0,9.647720966666666
202608281405,2026-08-28,1-3-6,4-1-5,9,333.2,0.032387300632158396,10.791448570635177,False,0,8.35309515
202608281512,2026-08-28,1-4-3,3-1-5,2,62.0,0.055293139693718775,3.428174661010564,False,0,9.56144875
202608281701,2026-08-28,3-6-5,2-1-3,5,162.5,0.0476122974391605,7.736998333863581,False,0,8.480913016666667
202608282303,2026-08-28,1-2-3,1-3-6,8,113.7,0.035761350564771255,4.066065559214492,False,0,9.5318606
202608282306,2026-08-28,1-2-3,2-1-5,4,156.2,0.048457022894148404,7.56898697606598,False,0,9.544981816666667
202608282308,2026-08-28,2-1-3,1-2-4,1,50.7,0.06014956590311961,3.0495829912881645,False,0,8.511437683333334
